# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_m0_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-0.093780,-3.856439e+03,0.0022621823,0.054,
0.013072,-0.001543,-6.386512e+01,0.0022623420,0.054,
0.019571,0.091357,3.806722e+03,0.0022625011,0.053,
0.026047,0.184937,7.757294e+03,0.0022626596,0.053,
0.032497,0.282334,1.192162e+04,0.0022628175,0.052,
0.038923,0.380469,1.617283e+04,0.0022629748,0.051,
0.045321,0.476217,2.037852e+04,0.0022631314,0.050,
0.051686,0.564827,2.433255e+04,0.0022632872,0.050,
0.058014,0.643053,2.788864e+04,0.0022634421,0.049,
0.064314,0.707606,3.089484e+04,0.0022635963,0.048,
0.070576,0.758325,3.333240e+04,0.0022637496,0.048,
0.076811,0.799863,3.539559e+04,0.0022639022,0.047,
0.083012,0.832108,3.707156e+04,0.0022640540,0.046,
0.089181,0.859800,3.856470e+04,0.0022642050,0.046,
0.095317,0.884507,3.994196e+04,0.0022643552,0.045,
0.101425,0.907826,4.127363e+04,0.0022645047,0.045,
0.107495,0.929737,4.255734e+04,0.0022646533,0.044,
0.113542,0.948590,4.371643e+04,0.0022648013,0.044,
0.119555,0.962688,4.466920e+04,0.0022649485,0.043,
0.125536,0.971971,4.540840e+04,0.0022650949,0.043,
0.131488,0.978045,4.600530e+04,0.0022652406,0.042,
0.137412,0.979192,4.637557e+04,0.0022653856,0.042,
0.143303,0.982069,4.683165e+04,0.0022655298,0.042,
0.149165,0.991772,4.762021e+04,0.0022656733,0.041,
0.154999,1.011795,4.891701e+04,0.0022658161,0.041,
0.160804,1.035466,5.040775e+04,0.0022659582,0.040,
0.166581,1.055985,5.176297e+04,0.0022660996,0.040,
0.172325,1.076751,5.314716e+04,0.0022662402,0.039,
0.178044,1.097777,5.456204e+04,0.0022663802,0.039,
0.183731,1.124285,5.626884e+04,0.0022665194,0.039,
0.189393,1.156371,5.827896e+04,0.0022666580,0.038,
0.195023,1.194119,6.060227e+04,0.0022667958,0.038,
0.200628,1.234098,6.307039e+04,0.0022669330,0.037,
0.206204,1.276346,6.568775e+04,0.0022670695,0.037,
0.211752,1.319119,6.836688e+04,0.0022672053,0.036,
0.217276,1.360640,7.101646e+04,0.0022673405,0.035,
0.222766,1.397270,7.344348e+04,0.0022674749,0.034,
0.228232,1.430760,7.573643e+04,0.0022676087,0.033,
0.233670,1.459227,7.779143e+04,0.0022677418,0.033,
0.239083,1.484435,7.969819e+04,0.0022678743,0.032,
