# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_nu1e-2_m1_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-4.006393,-1.647521e+05,0.0022621823,0.037,-4.010512
0.013076,-3.539314,-1.465075e+05,0.0022623421,0.038,-3.542607
0.019579,-3.137125,-1.307206e+05,0.0022625013,0.038,-3.139804
0.026063,-2.786514,-1.168840e+05,0.0022626600,0.039,-2.788766
0.032526,-2.473971,-1.044672e+05,0.0022628182,0.039,-2.475959
0.038964,-2.190490,-9.311644e+04,0.0022629758,0.039,-2.192353
0.045382,-1.934802,-8.280028e+04,0.0022631329,0.040,-1.936658
0.051780,-1.704044,-7.341695e+04,0.0022632895,0.040,-1.705993
0.058153,-1.495307,-6.485967e+04,0.0022634455,0.040,-1.497435
0.064506,-1.308832,-5.715675e+04,0.0022636010,0.041,-1.311213
0.070826,-1.141662,-5.019552e+04,0.0022637557,0.041,-1.144358
0.077117,-0.990810,-4.385996e+04,0.0022639097,0.042,-0.993878
0.083384,-0.854853,-3.810029e+04,0.0022640631,0.042,-0.858344
0.089622,-0.729108,-3.271862e+04,0.0022642158,0.043,-0.733069
0.095832,-0.613692,-2.772847e+04,0.0022643678,0.043,-0.618164
0.102017,-0.505463,-2.299567e+04,0.0022645192,0.044,-0.510483
0.108169,-0.404500,-1.852935e+04,0.0022646698,0.045,-0.410100
0.114301,-0.309243,-1.426393e+04,0.0022648199,0.046,-0.315451
0.120401,-0.218104,-1.012985e+04,0.0022649692,0.047,-0.224936
0.126476,-0.131127,-6.132541e+03,0.0022651179,0.048,-0.138592
0.132526,-0.043355,-2.041778e+03,0.0022652660,0.049,-0.051448
0.138548,0.043558,2.065689e+03,0.0022654134,0.050,0.034862
0.144541,0.134663,6.430920e+03,0.0022655601,0.051,0.125409
0.150509,0.226648,1.089980e+04,0.0022657062,0.053,0.216912
0.156454,0.319541,1.547542e+04,0.0022658517,0.054,0.309429
0.162369,0.411659,2.007748e+04,0.0022659965,0.055,0.401319
0.168260,0.503004,2.470635e+04,0.0022661407,0.057,0.492632
0.174123,0.591852,2.927670e+04,0.0022662842,0.058,0.581696
0.179965,0.676448,3.369971e+04,0.0022664272,0.059,0.666815
0.185778,0.758477,3.805608e+04,0.0022665695,0.060,0.749738
0.191563,0.836158,4.225390e+04,0.0022667111,0.061,0.828747
0.197327,0.909441,4.628716e+04,0.0022668522,0.062,0.903856
