# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_nu2e-3_m1_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-0.744088,-3.059863e+04,0.0022621823,0.036,-0.745923
0.013072,-0.618684,-2.560991e+04,0.0022623420,0.036,-0.619148
0.019571,-0.493948,-2.058211e+04,0.0022625011,0.036,-0.493514
0.026047,-0.369874,-1.551459e+04,0.0022626596,0.036,-0.368923
0.032501,-0.240218,-1.014332e+04,0.0022628176,0.036,-0.239042
0.038932,-0.108035,-4.592346e+03,0.0022629750,0.036,-0.106850
0.045333,0.020432,8.743434e+02,0.0022631317,0.035,0.021473
0.051702,0.145152,6.253229e+03,0.0022632876,0.035,0.145946
0.058043,0.258176,1.119721e+04,0.0022634428,0.035,0.258655
0.064346,0.357786,1.562185e+04,0.0022635971,0.035,0.357908
0.070621,0.443833,1.950973e+04,0.0022637507,0.035,0.443576
0.076864,0.517765,2.291349e+04,0.0022639035,0.035,0.517116
0.083073,0.581051,2.588834e+04,0.0022640555,0.035,0.580005
0.089254,0.638417,2.863730e+04,0.0022642068,0.036,0.636970
0.095403,0.689794,3.115219e+04,0.0022643573,0.036,0.687942
0.101523,0.738372,3.357321e+04,0.0022645071,0.036,0.736112
0.107610,0.784121,3.589655e+04,0.0022646561,0.037,0.781445
0.113668,0.825365,3.804298e+04,0.0022648044,0.037,0.822267
0.119698,0.862052,4.000613e+04,0.0022649520,0.038,0.858521
0.125695,0.892463,4.170155e+04,0.0022650988,0.038,0.888491
0.131664,0.919853,4.327681e+04,0.0022652449,0.039,0.915432
0.137604,0.945858,4.480678e+04,0.0022653903,0.040,0.940988
0.143511,0.977186,4.661014e+04,0.0022655349,0.041,0.971877
0.149394,1.013924,4.869695e+04,0.0022656789,0.042,1.008198
0.155244,1.057845,5.115825e+04,0.0022658221,0.043,1.051745
0.161066,1.102237,5.367499e+04,0.0022659646,0.043,1.095833
0.166863,1.145404,5.616513e+04,0.0022661065,0.045,1.138800
0.172627,1.183877,5.845615e+04,0.0022662476,0.046,1.177222
0.178363,1.219329,6.062694e+04,0.0022663880,0.047,1.212822
0.184074,1.255204,6.284758e+04,0.0022665278,0.048,1.249104
0.189757,1.289761,6.503075e+04,0.0022666669,0.048,1.284394
0.195411,1.328262,6.744263e+04,0.0022668053,0.049,1.324025
0.201037,1.367239,6.991046e+04,0.0022669430,0.050,1.364598
