# base ns_x144: t0 = 0.002262022034, T = 0.0022865, T - t0 = 2.447797e-05; raw rates from axi3dtl_ns144_nu5e-3_m1_rand.log
fraction,sigma_Tt,sigma_raw,t,trans,sigma_perp_Tt
0.006547,-1.995510,-8.205997e+04,0.0022621823,0.037,-1.995509
0.013072,-1.785081,-7.389194e+04,0.0022623420,0.037,-1.785060
0.019575,-1.588689,-6.619867e+04,0.0022625012,0.037,-1.588674
0.026055,-1.400244,-5.873457e+04,0.0022626598,0.037,-1.400269
0.032509,-1.218255,-5.144182e+04,0.0022628178,0.037,-1.218357
0.038944,-1.042780,-4.432701e+04,0.0022629753,0.037,-1.042999
0.045354,-0.873868,-3.739625e+04,0.0022631322,0.037,-0.874246
0.051735,-0.714732,-3.079203e+04,0.0022632884,0.037,-0.715310
0.058088,-0.570221,-2.473190e+04,0.0022634439,0.037,-0.571040
0.064412,-0.440492,-1.923437e+04,0.0022635987,0.038,-0.441591
0.070703,-0.324111,-1.424831e+04,0.0022637527,0.038,-0.325527
0.076966,-0.222830,-9.862353e+03,0.0022639060,0.038,-0.224597
0.083196,-0.130385,-5.809992e+03,0.0022640585,0.038,-0.132536
0.089397,-0.048492,-2.175537e+03,0.0022642103,0.039,-0.051055
0.095570,0.027595,1.246462e+03,0.0022643614,0.039,0.024596
0.101715,0.099441,4.522471e+03,0.0022645118,0.040,0.095984
0.107830,0.165363,7.572066e+03,0.0022646615,0.040,0.161431
0.113913,0.226934,1.046279e+04,0.0022648104,0.041,0.222517
0.119968,0.282453,1.311209e+04,0.0022649586,0.042,0.277545
0.125998,0.333506,1.558889e+04,0.0022651062,0.043,0.328108
0.131995,0.383369,1.804346e+04,0.0022652530,0.043,0.377493
0.137968,0.435386,2.063361e+04,0.0022653992,0.044,0.429047
0.143908,0.491271,2.344365e+04,0.0022655446,0.046,0.484499
0.149823,0.551091,2.648124e+04,0.0022656894,0.047,0.543925
0.155710,0.616606,2.983603e+04,0.0022658335,0.048,0.609097
0.161568,0.681082,3.318612e+04,0.0022659769,0.049,0.673293
0.167398,0.744511,3.653076e+04,0.0022661196,0.050,0.736519
0.173203,0.806891,3.986949e+04,0.0022662617,0.051,0.798785
0.178980,0.866477,4.311497e+04,0.0022664031,0.052,0.858362
0.184732,0.923240,4.626356e+04,0.0022665439,0.053,0.915233
0.190456,0.980643,4.948745e+04,0.0022666840,0.054,0.972874
0.196151,1.036945,5.269939e+04,0.0022668234,0.055,1.029555
0.201821,1.090370,5.580822e+04,0.0022669622,0.056,1.083510
0.207463,1.144436,5.899245e+04,0.0022671003,0.057,1.138265
0.213084,1.193802,6.197675e+04,0.0022672379,0.058,1.188486
0.218673,1.240184,6.484523e+04,0.0022673747,0.058,1.235888
0.224241,1.281744,6.749928e+04,0.0022675110,0.059,1.278634
0.229781,1.316573,6.983213e+04,0.0022676466,0.059,1.314809
0.235296,1.344565,7.183121e+04,0.0022677816,0.059,1.344297
0.240782,1.367440,7.358118e+04,0.0022679159,0.059,1.368802
